college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
991:IDAL INST,ELECTRICAL ENGINEERING,8182403,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,34.0,21.0,0.0,14.0,35.0,19.0,8.0,46.0,21.0,0.0,8.0,38.0,19.0,8.0,5.5,6.0,5.78,5.64,5.08,5.0,5.81,6.58,5.77
991:IDAL INST,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185857,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,32.0,22.0,23.0,18.0,47.0,22.0,18.0,34.0,22.0,23.0,18.0,32.0,23.0,20.0,5.26,5.3,6.46,5.79,6.78,5.5,7.48,8.0,6.52
991:IDAL INST,MECHANICAL,14186691,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,16.0,17.0,10.0,33.0,15.0,9.0,25.0,0.0,15.0,10.0,15.0,19.0,10.0,5.48,5.22,5.42,5.57,5.78,4.75,5.85,6.88,6.01
995:NEW HORIZO,CIVIL,6184105,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,12.0,10.0,8.0,32.0,16.0,13.0,32.0,16.0,15.0,8.0,33.0,17.0,12.0,5.37,6.04,5.7,5.71,5.72,5.39,6.26,6.54,6.19
995:NEW HORIZO,COMPUTER ENGINEERING,7186356,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,12.0,18.0,12.0,38.0,17.0,14.0,26.0,0.0,14.0,12.0,20.0,18.0,12.0,5.74,6.07,5.18,5.36,6.08,6.63,6.84,7.15,6.48
995:NEW HORIZO,ELECTRONICS AND ELECTRICAL ENGINEERING,9181001,ELE802:POWER,P,ELC801,ELC802,ELC803,ELECTIVEII,56.0,20.0,20.0,17.0,41.0,21.0,18.0,50.0,21.0,22.0,17.0,40.0,20.0,11.0,5.54,5.96,6.36,6.28,5.97,6.21,7.63,8.15,6.84
995:NEW HORIZO,MECHANICAL,14186747,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,33.0,20.0,21.0,13.0,34.0,20.0,12.0,37.0,17.0,19.0,11.0,32.0,15.0,9.0,5.63,5.91,6.0,5.46,6.11,5.71,6.89,7.04,6.46
996:A P SHAH,CIVIL,6184173,CEE80410:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,14.0,15.0,8.0,32.0,12.0,8.0,32.0,14.0,16.0,10.0,36.0,12.0,10.0,4.74,4.67,4.63,4.5,4.96,4.5,5.41,5.96,5.36
996:A P SHAH,COMPUTER ENGINEERING,7186412,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,16.0,15.0,9.0,34.0,15.0,8.0,32.0,15.0,13.0,8.0,32.0,18.0,9.0,4.63,4.8,4.46,4.43,4.75,4.42,5.64,6.74,5.52
996:A P SHAH,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185862,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,32.0,21.0,15.0,12.0,32.0,18.0,12.0,44.0,15.0,15.0,9.0,32.0,19.0,12.0,5.09,5.3,5.96,5.21,6.89,6.89,6.96,6.81,6.61
996:A P SHAH,INFORMATION TECHNOLOGY ENGINEERING,12184285,ITC8045:SOFT,P,ITC801,ITC802,ITC803,ELECTIVEII,33.0,13.0,16.0,9.0,32.0,13.0,8.0,32.0,13.0,16.0,10.0,32.0,13.0,10.0,4.33,4.19,5.54,4.46,5.54,5.36,5.67,5.96,5.42
996:A P SHAH,MECHANICAL,14186765,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,18.0,10.0,8.0,32.0,18.0,10.0,32.0,16.0,18.0,8.0,28.0,0.0,10.0,4.65,4.76,5.0,4.61,4.89,5.0,5.74,6.4,5.7
