college_code,department,Unnamed: 0,seat_no,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
537:TCET,MECHANICAL,11417.354166666666,32103767.520833332,48.375,18.895833333333332,19.8125,15.854166666666666,48.666666666666664,19.25,15.3125,51.4375,18.416666666666668,20.354166666666668,14.875,53.541666666666664,19.541666666666668,16.604166666666668,7.792083333333331,7.748333333333336,7.6447916666666655,7.654791666666665,7.898333333333333,8.186666666666664,7.821041666666669
55:CRCE,COMPUTER ENGINEERING,36147.794871794875,19880847.794871796,53.05128205128205,19.82051282051282,19.71794871794872,13.128205128205128,53.333333333333336,20.17948717948718,13.076923076923077,48.61538461538461,19.666666666666668,19.46153846153846,13.564102564102564,45.794871794871796,20.974358974358974,13.64102564102564,7.1602564102564115,7.287692307692309,7.69871794871795,7.539230769230769,7.696410256410257,7.9951282051282035,7.564615384615386
55:CRCE,ELECTRONICS ENGINEERING,37546.586956521736,24780747.13043478,46.02173913043478,20.869565217391305,17.543478260869566,12.021739130434783,50.91304347826087,20.282608695652176,12.91304347826087,45.23913043478261,20.58695652173913,17.608695652173914,13.304347826086957,48.47826086956522,18.25,10.717391304347826,7.06108695652174,7.067173913043478,7.137826086956523,7.222608695652175,6.859999999999998,7.348478260869564,7.116521739130435
55:CRCE,INFORMATION TECHNOLOGY ENGINEERING,38393.25925925926,35350964.59259259,50.925925925925924,20.74074074074074,18.59259259259259,12.925925925925926,48.0,18.037037037037038,12.222222222222221,43.666666666666664,20.14814814814815,21.37037037037037,16.40740740740741,57.03703703703704,21.333333333333332,16.77777777777778,6.295555555555556,6.499629629629629,7.185555555555557,7.245925925925925,7.50185185185185,7.967777777777779,7.116296296296297
561:PIITE,AUTOMOBILE ENGINEERING,1687.7142857142858,39280196.71428572,49.857142857142854,21.714285714285715,21.214285714285715,12.785714285714286,48.214285714285715,20.428571428571427,13.357142857142858,51.92857142857143,21.285714285714285,21.071428571428573,12.928571428571429,42.857142857142854,20.928571428571427,12.642857142857142,7.065714285714287,6.634285714285714,6.8757142857142854,6.244285714285714,7.440714285714287,8.062857142857144,7.055714285714285
561:PIITE,COMPUTER ENGINEERING,36951.50485436893,21610354.029126212,53.14563106796116,22.203883495145632,21.95145631067961,16.728155339805824,54.41747572815534,20.980582524271846,14.78640776699029,48.932038834951456,21.796116504854368,21.57281553398058,16.815533980582526,44.601941747572816,20.42718446601942,14.271844660194175,6.285339805825245,6.561747572815532,7.259320388349514,7.644854368932039,7.9518446601941735,8.372330097087376,7.346699029126216
561:PIITE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,8341.644444444444,10184217.644444445,47.666666666666664,18.711111111111112,18.6,14.71111111111111,47.888888888888886,20.2,16.466666666666665,45.71111111111111,19.622222222222224,20.466666666666665,13.977777777777778,35.2,19.11111111111111,17.622222222222224,6.230444444444444,5.7235555555555555,6.234444444444445,6.25822222222222,7.091333333333335,7.711111111111112,6.542000000000001
561:PIITE,ELECTRONICS ENGINEERING,37174.166666666664,35076460.61111111,40.98148148148148,20.77777777777778,19.703703703703702,13.925925925925926,49.05555555555556,19.88888888888889,13.777777777777779,43.48148148148148,20.074074074074073,19.27777777777778,11.685185185185185,47.425925925925924,18.48148148148148,13.703703703703704,5.7374074074074075,5.676666666666666,6.1127777777777785,6.361666666666664,6.811666666666667,7.404444444444448,6.351666666666667
561:PIITE,INFORMATION TECHNOLOGY ENGINEERING,41272.282051282054,37246946.41025641,47.833333333333336,21.03846153846154,20.41025641025641,15.397435897435898,44.243589743589745,20.064102564102566,15.461538461538462,43.80769230769231,19.55128205128205,19.205128205128204,13.294871794871796,46.705128205128204,23.435897435897434,19.17948717948718,5.908589743589745,6.283076923076923,6.611410256410256,6.6292307692307695,7.631794871794873,7.906794871794871,6.829358974358975
561:PIITE,MECHANICAL,10652.962264150943,34839620.18867925,45.75471698113208,19.830188679245282,18.18867924528302,14.867924528301886,48.132075471698116,19.754716981132077,15.716981132075471,49.056603773584904,19.641509433962263,19.641509433962263,13.584905660377359,47.339622641509436,20.92452830188679,14.39622641509434,7.672641509433964,7.638867924528302,7.160566037735849,6.970377358490565,7.402641509433964,7.964528301886791,7.469056603773585
688:DBIT,COMPUTER ENGINEERING,36748.46666666667,19884303.8,55.68888888888889,16.77777777777778,18.844444444444445,12.71111111111111,54.55555555555556,18.533333333333335,16.22222222222222,48.8,19.977777777777778,20.4,14.28888888888889,50.62222222222222,18.755555555555556,14.155555555555555,7.009333333333332,7.394444444444443,8.004666666666667,8.16,7.691555555555557,8.133555555555555,7.733555555555558
688:DBIT,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,8450.133333333333,10184326.133333333,52.13333333333333,20.066666666666666,19.8,15.666666666666666,48.666666666666664,19.733333333333334,13.533333333333333,50.06666666666667,20.066666666666666,21.666666666666668,15.533333333333333,43.2,17.533333333333335,15.866666666666667,6.008,5.804,6.004666666666667,6.771333333333334,7.1579999999999995,7.933333333333334,6.614666666666666
688:DBIT,INFORMATION TECHNOLOGY ENGINEERING,40186.142857142855,33408746.514285713,48.628571428571426,17.4,19.457142857142856,13.285714285714286,47.371428571428574,14.514285714285714,10.514285714285714,43.2,18.6,18.742857142857144,10.285714285714286,53.08571428571429,19.228571428571428,14.514285714285714,6.358,6.379999999999999,6.491428571428571,6.416000000000001,6.880000000000002,7.311714285714286,6.640285714285715
688:DBIT,MECHANICAL,12893.93023255814,28732140.976744186,47.18604651162791,19.348837209302324,19.372093023255815,13.348837209302326,46.093023255813954,16.162790697674417,15.44186046511628,51.0,20.162790697674417,21.162790697674417,15.046511627906977,51.651162790697676,19.72093023255814,14.534883720930232,7.543255813953489,7.072325581395349,7.323720930232558,7.222558139534883,7.619302325581395,7.938604651162791,7.454186046511627
689:KCCE,COMPUTER ENGINEERING,36455.12925170068,17810981.18367347,48.49659863945578,21.156462585034014,21.306122448979593,16.17687074829932,51.904761904761905,20.632653061224488,15.414965986394558,44.435374149659864,21.122448979591837,21.224489795918366,14.938775510204081,45.48979591836735,20.802721088435373,10.89795918367347,5.790680272108845,5.98061224489796,6.940408163265307,6.953605442176869,7.525986394557826,8.009591836734693,6.866870748299317
689:KCCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,8530.433333333332,10184406.433333334,49.56666666666667,21.733333333333334,20.3,12.933333333333334,45.5,20.7,14.133333333333333,43.233333333333334,20.5,20.533333333333335,13.9,39.43333333333333,22.066666666666666,15.833333333333334,6.458333333333333,6.078666666666668,6.8340000000000005,5.762666666666667,6.7713333333333345,7.770666666666667,6.614333333333334
689:KCCE,ELECTRONICS ENGINEERING,38250.73529411765,29582216.29411765,39.705882352941174,20.58823529411765,18.235294117647058,12.470588235294118,42.705882352941174,21.058823529411764,11.588235294117647,40.8235294117647,20.941176470588236,20.764705882352942,12.647058823529411,42.94117647058823,19.735294117647058,13.411764705882353,6.21529411764706,5.61529411764706,6.039999999999999,6.026470588235294,6.82,7.191176470588236,6.318823529411765
689:KCCE,INFORMATION TECHNOLOGY ENGINEERING,38611.06756756757,28034593.04054054,46.567567567567565,21.04054054054054,19.2027027027027,13.64864864864865,39.45945945945946,20.7972972972973,12.297297297297296,39.445945945945944,19.675675675675677,18.7027027027027,10.31081081081081,41.21621621621622,20.2027027027027,11.378378378378379,6.098513513513515,6.359054054054055,6.384054054054054,6.63608108108108,6.809594594594594,7.130135135135132,6.570540540540541
690:SIES,COMPUTER ENGINEERING,36857.10638297872,19344101.617021278,50.234042553191486,19.25531914893617,19.0,11.127659574468085,52.191489361702125,19.51063829787234,13.46808510638298,48.297872340425535,20.23404255319149,19.51063829787234,10.808510638297872,48.765957446808514,18.70212765957447,16.0,6.148085106382978,6.54723404255319,7.066382978723403,7.445531914893616,7.876595744680852,7.966170212765957,7.175531914893615
690:SIES,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,8654.327272727272,10184530.327272728,45.72727272727273,18.436363636363637,18.09090909090909,10.763636363636364,47.90909090909091,18.6,12.418181818181818,41.981818181818184,19.87272727272727,19.418181818181818,12.49090909090909,39.85454545454545,18.89090909090909,14.145454545454545,6.312181818181816,6.138,6.955818181818183,6.526545454545455,6.4940000000000015,7.3020000000000005,6.621999999999999
