college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
779:STJCET,INFORMATION TECHNOLOGY ENGINEERING,12183977,ITC8045:SOFT,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,18.0,19.0,8.0,32.0,19.0,10.0,32.0,14.0,15.0,8.0,32.0,17.0,8.0,['Diploma'],['Diploma'],4.43,4.25,5.15,5.08,6.3,7.12,5.53
779:STJCET,MECHANICAL,14184592,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,14.0,13.0,8.0,32.0,14.0,8.0,32.0,17.0,17.0,8.0,37.0,17.0,10.0,['Diploma'],['Diploma'],5.08,4.96,5.11,4.68,5.89,6.84,5.65
780:YTEM,CIVIL,6182565,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,26.0,0.0,15.0,16.0,21.0,10.0,11.0,18.0,10.0,10.0,11.0,18.0,19.0,11.0,['Diploma'],['Diploma'],4.52,4.38,4.71,4.36,5.11,6.58,5.27
780:YTEM,COMPUTER ENGINEERING,7185458,CPE8034:DIGITAL,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,19.0,19.0,9.0,38.0,17.0,9.0,32.0,17.0,14.0,8.0,32.0,20.0,8.0,['Diploma'],['Diploma'],5.43,4.82,5.5,4.75,6.6,6.56,5.82
780:YTEM,MECHANICAL,14184734,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,12.0,16.0,8.0,26.0,0.0,8.0,19.0,12.0,13.0,8.0,16.0,13.0,8.0,['Diploma'],['Diploma'],5.2,4.93,4.44,4.0,6.23,5.72,5.25
802:THEEM,AUTOMOBILE ENGINEERING,39280310,AEE8022:VEHICLE,P,AEC801,AEC802,AEC803,ELECTIVEII,38.0,18.0,18.0,12.0,38.0,20.0,8.0,36.0,16.0,17.0,11.0,34.0,18.0,11.0,['Diploma'],['Diploma'],5.42,4.93,5.07,5.3,6.38,7.16,5.98
802:THEEM,CIVIL,6182657,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,11.0,13.0,8.0,32.0,12.0,8.0,32.0,14.0,15.0,8.0,32.0,16.0,8.0,['Diploma'],['Diploma'],4.85,4.75,4.8,4.46,5.33,5.5,5.26
802:THEEM,COMPUTER ENGINEERING,7185489,CPE8034:DIGITAL,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,16.0,17.0,12.0,38.0,14.0,10.0,33.0,17.0,17.0,9.0,32.0,16.0,10.0,['Diploma'],['Diploma'],4.86,4.64,5.17,5.46,6.08,6.0,5.44
802:THEEM,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185188,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,46.0,20.0,21.0,13.0,38.0,20.0,18.0,40.0,21.0,19.0,18.0,34.0,20.0,17.0,['Diploma'],['Diploma'],5.15,5.32,4.96,5.36,6.85,7.73,6.12
802:THEEM,ELECTRONICS ENGINEERING,50281850,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,32.0,19.0,22.0,15.0,33.0,20.0,17.0,42.0,19.0,19.0,14.0,45.0,20.0,14.0,['Diploma'],['Diploma'],5.27,5.21,6.21,6.11,6.85,7.46,6.3
