college_code,department,seat_no,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
807:GVAIET,COMPUTER ENGINEERING,17768636.458333332,50.80555555555556,20.333333333333332,20.15277777777778,15.819444444444445,53.861111111111114,21.166666666666668,17.63888888888889,47.958333333333336,20.5,19.98611111111111,15.944444444444445,47.06944444444444,20.930555555555557,15.25,6.397499999999999,6.59,6.517638888888887,6.829027777777778,6.878472222222223,7.567777777777773,8.12722222222222,8.294027777777782,7.15125
807:GVAIET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185222.166666666,48.833333333333336,21.0,20.75,13.75,48.333333333333336,21.416666666666668,14.666666666666666,47.333333333333336,21.583333333333332,20.583333333333332,14.583333333333334,38.5,21.583333333333332,15.916666666666666,6.316666666666666,6.495000000000001,6.465,6.554166666666666,7.130833333333334,7.125000000000001,7.385833333333333,7.511666666666668,6.875
807:GVAIET,MECHANICAL,34235821.37179487,44.65384615384615,20.08974358974359,19.846153846153847,12.782051282051283,48.0,19.23076923076923,14.884615384615385,46.23076923076923,18.94871794871795,17.705128205128204,10.85897435897436,47.85897435897436,19.55128205128205,13.833333333333334,6.527820512820513,6.69,6.633076923076924,6.386666666666667,6.650256410256409,6.266025641025641,7.221410256410256,7.650256410256409,6.753717948717951
822:PILLAIS,AUTOMOBILE ENGINEERING,39280378.071428575,50.0,21.285714285714285,21.928571428571427,15.428571428571429,46.142857142857146,21.071428571428573,13.357142857142858,47.92857142857143,20.285714285714285,20.785714285714285,11.785714285714286,46.92857142857143,21.428571428571427,17.928571428571427,5.834285714285714,6.297142857142857,6.6985714285714275,6.004285714285714,6.407857142857144,5.796428571428571,7.425714285714285,8.037142857142856,6.562857142857142
822:PILLAIS,CIVIL,27854480.97029703,40.524752475247524,18.128712871287128,18.059405940594058,13.376237623762377,47.227722772277225,20.524752475247524,14.178217821782178,46.772277227722775,20.88118811881188,18.138613861386137,12.366336633663366,51.13861386138614,21.03960396039604,13.009900990099009,6.202970297029701,6.492376237623763,6.265148514851486,6.099009900990099,6.5829702970297,6.272970297029705,7.171782178217818,7.56990099009901,6.582871287128713
822:PILLAIS,COMPUTER ENGINEERING,20918996.0,51.406976744186046,19.825581395348838,19.825581395348838,15.395348837209303,54.104651162790695,20.726744186046513,15.36046511627907,46.348837209302324,19.936046511627907,20.25,14.19767441860465,46.98255813953488,20.5,12.418604651162791,6.153837209302324,6.456627906976749,6.3528488372093,6.418953488372097,7.04732558139535,7.020465116279073,7.7841860465116275,8.105465116279065,6.918081395348838
822:PILLAIS,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185259.625,51.75,21.166666666666668,20.75,13.875,48.75,20.25,14.0,48.291666666666664,21.25,19.708333333333332,14.875,42.708333333333336,20.375,13.75,6.028749999999999,6.265833333333333,6.535,6.541666666666667,6.9604166666666645,6.74875,6.857916666666665,7.917083333333333,6.732500000000001
822:PILLAIS,ELECTRONICS ENGINEERING,42950796.5,43.0,22.0625,22.125,13.375,50.3125,19.9375,12.3125,47.4375,18.5,19.3125,12.375,49.375,18.8125,12.3125,5.830625,6.088749999999999,5.484999999999999,5.595,6.719999999999999,6.505,7.08125,7.599375,6.3637500000000005
822:PILLAIS,INFORMATION TECHNOLOGY ENGINEERING,32262004.08108108,50.648648648648646,18.864864864864863,18.7027027027027,12.432432432432432,46.891891891891895,20.35135135135135,11.972972972972974,42.891891891891895,20.35135135135135,20.027027027027028,11.91891891891892,45.945945945945944,21.56756756756757,15.18918918918919,5.852702702702702,6.332702702702702,6.505945945945944,6.582432432432431,7.194594594594596,6.702702702702702,7.437567567567569,7.696486486486484,6.789189189189189
822:PILLAIS,MECHANICAL,31803901.574074075,42.9320987654321,20.59259259259259,18.01851851851852,13.432098765432098,46.53703703703704,22.02469135802469,13.123456790123457,46.166666666666664,21.469135802469136,19.97530864197531,13.395061728395062,50.28395061728395,21.864197530864196,13.691358024691358,6.540555555555555,6.730061728395064,6.872654320987654,6.432839506172839,6.537160493827165,6.419135802469136,7.40574074074074,7.821728395061732,6.8456172839506175
823:VIVATECH,CIVIL,26444703.923076924,40.96153846153846,20.076923076923077,19.746153846153845,13.73076923076923,48.91538461538462,20.853846153846153,15.430769230769231,47.6,20.1,19.246153846153845,12.169230769230769,50.784615384615385,21.253846153846155,13.092307692307692,6.303923076923075,6.637384615384616,6.340615384615378,6.295538461538461,6.604846153846154,6.422076923076923,7.137692307692306,7.683153846153843,6.678615384615378
823:VIVATECH,COMPUTER ENGINEERING,18781097.88198758,50.95031055900621,19.354037267080745,19.819875776397517,16.565217391304348,53.49689440993789,19.91304347826087,15.024844720496894,46.62732919254658,19.720496894409937,19.130434782608695,15.316770186335404,47.006211180124225,18.677018633540374,13.559006211180124,6.403975155279501,6.687577639751551,6.452360248447205,6.589565217391304,7.384285714285713,7.696708074534159,7.458881987577642,7.869378881987574,7.068385093167705
823:VIVATECH,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185329.44736842,50.973684210526315,20.263157894736842,18.42105263157895,15.657894736842104,51.5,21.157894736842106,16.657894736842106,52.28947368421053,21.342105263157894,18.289473684210527,13.657894736842104,44.73684210526316,21.789473684210527,15.894736842105264,6.427894736842106,6.6207894736842094,6.577368421052632,6.952631578947367,7.616052631578948,7.2465789473684215,7.313157894736843,8.186315789473682,7.117894736842106
823:VIVATECH,ELECTRONICS ENGINEERING,50281894.666666664,49.0,20.0,19.0,14.666666666666666,32.666666666666664,18.333333333333332,11.666666666666666,33.666666666666664,21.0,18.666666666666668,10.666666666666666,37.333333333333336,19.333333333333332,11.0,5.096666666666667,5.223333333333334,5.333333333333333,4.966666666666666,5.2,5.036666666666666,5.8066666666666675,6.526666666666667,5.3999999999999995
823:VIVATECH,MECHANICAL,34320229.808383234,43.58682634730539,19.461077844311376,19.491017964071855,13.395209580838323,45.7185628742515,21.251497005988025,14.41317365269461,44.275449101796404,19.059880239520957,19.82634730538922,13.155688622754491,50.0,19.84431137724551,15.718562874251496,6.723952095808381,6.927185628742515,6.8411377245508955,6.56550898203593,6.252874251497003,6.402275449101795,7.195329341317366,7.680718562874247,6.824071856287424
824:SESKARJAT,COMPUTER ENGINEERING,7185984.5,46.642857142857146,20.285714285714285,19.928571428571427,10.571428571428571,49.57142857142857,20.285714285714285,12.214285714285714,46.57142857142857,21.285714285714285,20.5,13.428571428571429,45.214285714285715,21.5,10.214285714285714,6.184285714285714,6.564285714285714,5.509999999999999,5.956428571428572,6.583571428571429,6.5214285714285705,7.611428571428573,7.816428571428571,6.594285714285713
